Delay : 1, Total Response Took: 1.029, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04257 
Delay : 1, Total Response Took: 1.037, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04344 
Delay : 1, Total Response Took: 1.04, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03836 
Delay : 1, Total Response Took: 1.044, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04246 
Delay : 1, Total Response Took: 1.052, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03402 
Delay : 1, Total Response Took: 1.076, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04254 
Delay : 1, Total Response Took: 1.075, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03764 
Delay : 1, Total Response Took: 1.083, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04074 
Delay : 1, Total Response Took: 1.072, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.02954 
Delay : 1, Total Response Took: 1.091, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04493 
Delay : 1, Total Response Took: 1.098, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04473 
Delay : 1, Total Response Took: 1.095, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04041 
Delay : 1, Total Response Took: 1.103, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04948 
Delay : 1, Total Response Took: 1.103, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04367 
Delay : 1, Total Response Took: 1.111, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04671 
Delay : 1, Total Response Took: 1.119, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.05164 
Delay : 1, Total Response Took: 1.116, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03741 
Delay : 1, Total Response Took: 1.116, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.03642 
Delay : 1, Total Response Took: 1.127, Status: COMPLETED, Payload: 294 bytes, CPU time: 0.04632 
